"Data Export Generated on Mon Oct 21 00:32:54 PDT 2024"
"Survey ID 3374462"
"Dashboard Name My Dashboard"
"Response ID","Response Status","IP Address","Timestamp (mm/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Respondent Email","Email List","Country Code","Region","Are you a local or tourist?","Which category of skier/snowboarder are you","","","","","How often do you visit ski resorts?","Which activities do you usually do when visiting a ski resort?","","","What do you consider when choosing a ski resort?","","","","Do you look at live footage of ski resorts before planning your visit?","Wheater conditions","Snow quality","Crowdedness of the resort","Condition of slopes","Waiting times at lifts","Has live footage ever led you to choose one ski resort over another?","What factors seen on live footage would impact your travel desicions / ski resort choice?","","","","","Did you ever not go to a ski resort because of factors seen on live footage?","After visiting how often has your experience matched your expectations set by live footage?","Overall how satisfied were you with your visit to resorts where you viewed live footage beforehand?","Are you more likely to revisit a ski resort if they provide reliable and satisfactory live footage?","How likely are you to recommend a ski resort that uses live footage effectively?","What is your age?","What is your gender?","Country of origin","","","","","","","","","","","","","","","","","","","","Race","Piste","All Mountain","Freestyle","Freeride","","Skiing","Snowboarding","Rodeln","Location","Price","Slopes","Accommodation","","Wheater conditions","Snow quality","Crowdedness of the resort","Condition of slopes","Waiting times at lifts","","Bad snow conditions","Overcrowded slopes","Long waiting times at the lifts","Slopes in poor condition","Bad weather","","","","","","","","",""
"22080410","Started","212.186.128.243","10/16/2024 20:27:23","0","6","1","","","","","","","","","AT","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22080584","Started","2a09:bac2:f1:1c46::2d1:69","10/16/2024 20:44:51","0","90","1","","","","","","","","","AT","9","2","","","1","","1","2","1","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","",""
"22080588","Completed","178.165.203.12","10/16/2024 20:48:00","0","184","1","","","","","","","","","AT","9","2","","","1","1","","2","1","","","1","","1","","1","4","3","4","4","3","1","","1","1","1","1","1","2","2","1","2","3","2","3",""
"22080597","Completed","178.165.203.12","10/16/2024 20:52:15","0","107","1","","","","","","","","","AT","9","2","","1","1","1","","2","1","","","1","1","1","1","2","4","3","3","4","2","1","","1","","1","1","1","2","2","1","2","3","1","2",""
"22080608","Completed","178.165.203.12","10/16/2024 20:56:39","0","118","1","","","","","","","","","AT","9","1","","1","","","","4","1","1","","","","1","","1","5","4","5","4","5","1","1","","1","","1","1","2","2","1","1","5","2","1",""
"22080756","Completed","178.165.203.12","10/16/2024 21:34:06","0","1837","1","","","","","","","","","AT","9","1","","","","1","1","4","1","1","","1","","1","","3","2","3","2","3","2","1","1","","","","1","1","2","2","1","3","6","1","2",""
"22080837","Completed","178.165.203.12","10/16/2024 21:42:18","0","468","1","","","","","","","","","AT","9","2","","1","","","","1","1","","","1","1","1","1","2","4","3","3","4","4","1","","1","1","","","2","3","3","1","2","6","1","3",""
"22080843","Completed","178.165.203.12","10/16/2024 21:45:02","0","158","1","","","","","","","","","AT","9","2","","1","1","1","1","4","1","1","1","","","1","","1","5","5","2","2","2","1","1","","","1","","1","3","2","1","2","4","2","1",""
"22080846","Completed","178.165.203.12","10/16/2024 21:47:16","0","123","1","","","","","","","","","AT","9","2","","1","1","","","2","1","","","","1","","1","4","4","3","3","3","4","2","","1","1","","","2","4","3","3","3","3","2","4",""
"22080849","Completed","178.165.203.12","10/16/2024 21:49:32","0","106","1","","","","","","","","","AT","9","2","1","1","1","1","1","4","1","1","","1","","1","","2","5","3","5","3","5","1","","1","1","","1","1","2","2","1","1","2","1","1",""
"22080949","Completed","80.113.47.83","10/16/2024 22:23:42","0","1997","1","","","","","","","","","NL","NH","2","","1","","","1","2","1","","","1","1","1","","3","3","4","3","4","3","1","","1","","1","","1","2","2","1","2","4","1","3",""
"22080952","Completed","80.113.47.83","10/16/2024 22:25:45","0","102","1","","","","","","","","","NL","NH","1","","1","","","1","4","1","1","","","","1","","4","4","3","4","3","3","1","","","","","1","1","3","3","1","3","2","2","1",""
"22080955","Completed","2a09:bac2:f1:1c6e::2d5:47","10/16/2024 22:27:52","0","94","1","","","","","","","","","AT","9","1","","1","","","","4","1","","","1","","","","1","3","3","4","3","5","2","","1","1","","","1","1","2","1","1","5","2","3",""
"22080956","Completed","80.113.47.83","10/16/2024 22:28:03","0","114","1","","","","","","","","","NL","NH","2","","1","","","","1","1","1","","1","1","","","2","4","3","3","3","3","1","1","","","","1","1","2","2","1","2","5","1","3",""
"22080963","Completed","2a09:bac2:f1:1c6e::2d5:47","10/16/2024 22:29:31","0","86","1","","","","","","","","","AT","9","2","","1","1","","","3","1","1","","1","1","1","1","2","5","2","4","3","5","1","","1","1","","1","1","2","2","3","2","4","1","1",""
"22082342","Completed","91.141.45.106","10/17/2024 08:04:48","0","152","1","","","","","","","","","AT","9","2","","1","","","","1","1","","","","1","1","","1","2","4","4","4","4","1","","1","1","1","","1","2","2","1","1","3","1","3",""
"22082343","Completed","91.141.45.106","10/17/2024 08:07:07","0","94","1","","","","","","","","","AT","9","1","","1","1","","1","4","1","","","","","1","","3","5","4","3","3","3","1","1","","","","1","1","1","2","1","3","2","2","1",""
"22082460","Completed","212.186.128.243","10/17/2024 10:42:39","0","76","1","","","","","","","","","AT","9","1","","","1","","1","4","1","","","1","","1","","1","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","1","3","1","1",""
"22083188","Completed","212.186.128.243","10/17/2024 17:04:06","0","105","1","","","","","","","","","AT","9","1","","1","","","","4","1","","","","1","1","","1","3","3","5","5","4","","","1","1","1","","1","1","1","1","1","3","1","1",""
"22083190","Completed","212.186.128.243","10/17/2024 17:05:48","0","84","1","","","","","","","","","AT","9","1","","","1","","","4","","1","","","","1","","1","4","5","3","4","4","1","1","1","1","1","","1","1","1","1","2","2","1","1",""
"22083191","Completed","212.186.128.243","10/17/2024 17:07:23","0","83","1","","","","","","","","","AT","9","2","","1","","","","2","1","","","","1","","1","2","2","4","4","5","4","1","","1","1","1","","1","2","2","1","2","4","2","3",""
"22083193","Completed","212.186.128.243","10/17/2024 17:09:19","0","77","1","","","","","","","","","AT","9","2","1","","","","","3","1","","","","1","1","","2","3","3","5","5","2","1","","1","","1","","1","3","2","1","3","3","2","2",""
"22084538","Completed","188.188.120.205","10/17/2024 22:34:15","0","191","1","","","","","","","","","BE","BRU","1","","","1","","","4","1","","","","","1","","1","5","5","2","4","3","1","","","","1","1","1","2","2","1","2","3","2","6",""
"22085887","Completed","212.186.128.243","10/18/2024 08:42:30","0","794","1","","","","","","","","","AT","9","2","","1","","","","2","","1","","","1","1","","3","2","4","4","5","4","1","1","","","1","","1","3","2","3","3","4","2","3",""
"22085915","Completed","212.186.128.243","10/18/2024 08:54:32","0","691","1","","","","","","","","","AT","9","1","","","","1","","4","1","","","1","","1","","3","5","4","2","3","4","1","1","","1","","1","1","2","3","2","4","2","1","1",""
"22085917","Completed","80.208.64.121","10/18/2024 09:01:34","0","205","1","","","","","","","","","DK","85","1","","","","1","1","4","","1","","1","1","1","","1","5","5","4","4","3","1","1","","1","","1","1","2","3","1","1","2","1","3",""
"22085919","Completed","91.141.43.110","10/18/2024 09:09:43","0","182","1","","","","","","","","","AT","9","1","","","1","","","4","","1","","1","","1","","3","5","3","3","3","2","2","","","","","1","1","2","3","3","3","3","2","1",""
"22085920","Completed","212.186.128.243","10/18/2024 09:12:06","0","360","1","","","","","","","","","AT","9","1","1","","","","","4","1","","","","","1","","2","5","4","2","5","3","1","1","","","1","1","1","2","2","1","2","3","2","1",""
"22085940","Completed","2001:628:2260:506::4b7","10/18/2024 09:13:16","0","134","1","","","","","","","","","AT","9","2","","1","","","","4","1","","","1","1","1","","2","4","4","4","3","4","1","1","1","1","","1","1","2","2","1","3","3","2","2",""
"22085984","Started","213.147.166.129","10/18/2024 10:16:00","0","203","1","","","","","","","","","AT","9","2","","","1","","","4","1","","","","","1","","4","5","2","5","5","3","1","1","1","1","1","1","1","","","","","","","",""
"22085985","Completed","213.208.157.35","10/18/2024 10:32:55","0","535","1","","","","","","","","","AT","9","1","","","1","","","4","1","","","1","1","1","","4","5","2","5","5","3","1","1","1","1","1","1","1","1","1","1","2","3","2","1",""
"22085986","Completed","185.58.54.157","10/18/2024 10:38:13","0","170","1","","","","","","","","","AT","7","1","","","","1","1","4","1","","","1","","","","2","5","3","1","","1","2","","1","","","","1","2","2","1","2","2","1","1",""
"22085987","Completed","2a09:bac3:f2:137::1f:43","10/18/2024 10:38:24","0","208","1","","","","","","","","","AT","9","1","","","","1","1","4","1","1","","1","1","","","3","4","5","4","2","3","1","","","","","1","1","3","2","1","2","2","1","1",""
"22085988","Completed","2001:871:244:d5cb:6c60:8aa4:97ac:3158","10/18/2024 10:40:15","0","137","1","","","","","","","","","AT","7","1","","","","1","1","4","1","","","1","","","","3","5","4","5","3","4","1","1","1","1","","1","1","2","2","1","2","2","1","1",""
"22085989","Started","88.117.125.97","10/18/2024 10:40:59","0","67","1","","","","","","","","","AT","5","1","","1","","","","1","1","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","",""
"22085990","Completed","193.81.47.43","10/18/2024 10:42:35","0","162","1","","","","","","","","","AT","9","1","","1","","","","4","1","","1","1","","1","","4","3","2","5","5","4","2","","1","1","1","1","2","2","2","1","2","2","2","1",""
"22085999","Completed","2001:4bc9:b46:6326:c87d:9799:7501:4f36","10/18/2024 10:42:58","0","172","1","","","","","","","","","AT","7","1","","1","","","","1","1","","1","1","1","","1","1","4","5","5","5","5","1","1","","1","1","1","1","2","1","1","2","2","2","1",""
"22086020","Completed","195.192.71.97","10/18/2024 10:44:49","0","149","1","","","","","","","","","AT","5","2","","1","","","","3","1","","","1","1","1","","3","4","3","3","2","3","1","","1","","","1","1","1","2","3","3","2","2","1",""
"22086021","Started","2a09:bac2:2970:1c6e::2d5:3","10/18/2024 10:44:59","0","49","1","","","","","","","","","DE","BY","2","","","","","1","3","","1","","","1","","","","","","","","","","","","","","","","","","","","","","",""
